Pacific Decadal Oscillation (PDO)
Date,Value
185401,-1.17
185402,-0.95
185403,-0.75
185404,-0.52
185405,-0.52
185406,-0.92
185407,-1.35
185408,-1.52
185409,-0.91
185410,-1.25
185411,-0.63
185412,-0.69
185501,0.33
185502,0.44
185503,0.08
185504,-1.08
185505,-2.05
185506,-1.74
185507,-1.80
185508,-1.41
185509,-0.93
185510,-0.58
185511,-0.21
185512,0.20
185601,0.07
185602,0.34
185603,-0.46
185604,-0.89
185605,-0.92
185606,-0.70
185607,-0.25
185608,0.06
185609,-0.83
185610,-0.27
185611,-0.13
185612,-0.46
185701,-0.91
185702,-0.63
185703,-0.47
185704,-0.25
185705,0.24
185706,0.80
185707,0.75
185708,0.51
185709,-0.06
185710,-0.24
185711,-0.27
185712,-0.89
185801,-1.46
185802,-0.63
185803,-0.82
185804,-0.21
185805,-0.03
185806,0.51
185807,-0.10
185808,-0.11
185809,-0.10
185810,-0.19
185811,0.75
185812,0.57
185901,0.72
185902,-0.64
185903,-0.94
185904,-1.43
185905,-1.29
185906,-1.25
185907,-0.43
185908,-1.64
185909,-1.76
185910,-1.00
185911,-0.04
185912,-0.85
186001,-1.13
186002,-1.07
186003,-1.00
186004,-0.70
186005,-0.44
186006,0.56
186007,0.55
186008,0.12
186009,3.07
186010,0.57
186011,-0.06
186012,-0.76
186101,-0.93
186102,-1.17
186103,-1.21
186104,-1.10
186105,-0.82
186106,-0.64
186107,-0.68
186108,-0.97
186109,-1.11
186110,-1.54
186111,-0.75
186112,-0.51
186201,-0.03
186202,0.19
186203,0.31
186204,0.25
186205,0.16
186206,0.27
186207,0.26
186208,-0.26
186209,-0.74
186210,-0.67
186211,-0.19
186212,-0.23
186301,-0.18
186302,-0.18
186303,-0.25
186304,-0.02
186305,0.23
186306,0.12
186307,-0.20
186308,-0.24
186309,0.12
186310,0.33
186311,0.33
186312,0.06
186401,-0.02
186402,-0.12
186403,-0.40
186404,-0.38
186405,-0.17
186406,0.07
186407,-0.18
186408,-0.28
186409,-0.34
186410,-0.29
186411,-0.10
186412,-0.01
186501,-0.53
186502,-0.71
186503,-0.14
186504,-0.21
186505,-0.22
186506,-0.14
186507,-0.05
186508,0.02
186509,-0.33
186510,-0.35
186511,-0.40
186512,-0.64
186601,-1.66
186602,-1.64
186603,-1.75
186604,-0.01
186605,-0.54
186606,-0.37
186607,-0.24
186608,-0.27
186609,-0.32
186610,-0.19
186611,0.04
186612,-0.02
186701,-0.01
186702,-0.09
186703,-0.26
186704,-0.27
186705,-0.17
186706,-0.27
